GAS
N2	9999
SO2	100
NO	100

FLOW
1	True	100	100	100	57	48			
2	True	110	100	100	7	14			
3	True	110	120	100	8	38			

SPEC
1	2	3	
840579.2	840592	840582.4	
840364.8	840403.2	840496	
840745.6	840761.6	840742.4	
840326.4	840329.6	840400	
837622.4	837628.8	837657.6	
834102.4	834124.8	834121.6	
827948.8	827952	827958.4	
817929.6	817936	817971.2	
805846.4	805888	805888	
793379.2	793376	793411.2	
780928	780960	781036.8	
769209.6	769190.4	769276.8	
760566.4	760579.2	760678.4	
755171.2	755155.2	755212.8	
752755.2	752755.2	752816	
754832	754803.2	754889.6	
762934.4	762902.4	762998.4	
776412.8	776403.2	776454.4	
787939.2	787932.8	787996.8	
788940.8	788937.6	789001.6	
778016	777980.8	778035.2	
758636.8	758630.4	758736	
734774.4	734768	734848	
711344	711334.4	711504	
692060.8	692032	692166.4	
677190.4	677177.6	677244.8	
666304	666284.8	666428.8	
658528	658492.8	658633.6	
652473.6	652448	652528	
647411.2	647398.4	647561.6	
644300.8	644313.6	644451.2	
643008	643030.4	643129.6	
642147.2	642153.6	642256	
641936	641904	642019.2	
643443.2	643401.6	643497.6	
646515.2	646496	646550.4	
654848	654812.8	654870.4	
669961.6	669939.2	670044.8	
680409.6	680390.4	680476.8	
680480	680432	680563.2	
679097.6	679040	679164.8	
684726.4	684710.4	684828.8	
699177.6	699158.4	699296	
718464	718470.4	718585.6	
738803.2	738768	738832	
759913.6	759916.8	760000	
781126.4	781136	781184	
798905.6	798908.8	798937.6	
807449.6	807452.8	807459.2	
803916.8	803891.2	803884.8	
790476.8	790476.8	790502.4	
769209.6	769206.4	769286.4	
742387.2	742400	742464	
714908.8	714902.4	714982.4	
693696	693689.6	693766.4	
680982.4	680998.4	681075.2	
676105.6	676092.8	676176	
675452.8	675478.4	675600	
675276.8	675219.2	675321.6	
672041.6	672044.8	672112	
666550.4	666550.4	666659.2	
660083.2	660067.2	660131.2	
653513.6	653484.8	653555.2	
646892.8	646886.4	647001.6	
641606.4	641574.4	641772.8	
638473.6	638444.8	638572.8	
638784	638752	638915.2	
642604.8	642624	642729.6	
648432	648377.6	648492.8	
656716.8	656694.4	656800	
669776	669744	669820.8	
690240	690220.8	690352	
709763.2	709785.6	709830.4	
716067.2	716009.6	716096	
711792	711792	711888	
705603.2	705635.2	705696	
702547.2	702553.6	702662.4	
703494.4	703510.4	703584	
706953.6	706969.6	707062.4	
709235.2	709248	709344	
709190.4	709184	709273.6	
708892.8	708864	708912	
710102.4	710051.2	710160	
711603.2	711571.2	711660.8	
712380.8	712374.4	712412.8	
712160	712150.4	712208	
713385.6	713360	713446.4	
720716.8	720656	720768	
739692.8	739680	739715.2	
770384	770374.4	770387.2	
795875.2	795849.6	795884.8	
805289.6	805273.6	805273.6	
801337.6	801350.4	801430.4	
791052.8	791011.2	791094.4	
781472	781478.4	781555.2	
776764.8	776758.4	776793.6	
775840	775836.8	775891.2	
775369.6	775360	775475.2	
773683.2	773635.2	773702.4	
770220.8	770211.2	770249.6	
765040	765033.6	765104	
759456	759472	759571.2	
754284.8	754249.6	754387.2	
750198.4	750150.4	750240	
748966.4	748982.4	749078.4	
752470.4	752432	752480	
760947.2	760934.4	761017.6	
769392	769376	769414.4	
773286.4	773286.4	773340.8	
773456	773452.8	773488	
773529.6	773484.8	773536	
775148.8	775107.2	775120	
776508.8	776457.6	776528	
776016	776006.4	776067.2	
773328	773331.2	773443.2	
769376	769344	769398.4	
765708.8	765715.2	765766.4	
761529.6	761507.2	761577.6	
757452.8	757424	757488	
755024	754985.6	755088	
755222.4	755203.2	755264	
757052.8	757040	757075.2	
759161.6	759145.6	759206.4	
761366.4	761344	761427.2	
763641.6	763622.4	763654.4	
765699.2	765673.6	765747.2	
768246.4	768208	768281.6	
772195.2	772150.4	772208	
776899.2	776851.2	776928	
780822.4	780790.4	780841.6	
784262.4	784252.8	784310.4	
789555.2	789548.8	789571.2	
794281.6	794256	794300.8	
792723.2	792700.8	792716.8	
784121.6	784108.8	784166.4	
771270.4	771251.2	771328	
759174.4	759148.8	759196.8	
752054.4	751990.4	752092.8	
752742.4	752704	752787.2	
760150.4	760112	760208	
767177.6	767136	767152	
768716.8	768710.4	768777.6	
766419.2	766422.4	766505.6	
763728	763702.4	763792	
765280	765251.2	765276.8	
770992	770969.6	770982.4	
775273.6	775212.8	775168	
775702.4	775676.8	775756.8	
775648	775644.8	775724.8	
775372.8	775340.8	775372.8	
770470.4	770460.8	770560	
759536	759494.4	759571.2	
744915.2	744892.8	744947.2	
731958.4	731923.2	732057.6	
724992	724982.4	725107.2	
723267.2	723241.6	723299.2	
724025.6	723993.6	724041.6	
724832	724816	724896	
724595.2	724582.4	724640	
723542.4	723520	723609.6	
725500.8	725446.4	725539.2	
734995.2	734976	735078.4	
749113.6	749100.8	749161.6	
758265.6	758278.4	758352	
760873.6	760841.6	760934.4	
758041.6	757993.6	758089.6	
751395.2	751366.4	751404.8	
743398.4	743363.2	743427.2	
736652.8	736640	736720	
729785.6	729795.2	729875.2	
721020.8	720972.8	721097.6	
712697.6	712678.4	712780.8	
708592	708553.6	708620.8	
709372.8	709337.6	709440	
714323.2	714297.6	714412.8	
721718.4	721657.6	721769.6	
730668.8	730614.4	730672	
740476.8	740444.8	740524.8	
750224	750185.6	750256	
756492.8	756432	756464	
757904	757862.4	757948.8	
755235.2	755219.2	755260.8	
751100.8	751100.8	751200	
748310.4	748278.4	748387.2	
748934.4	748908.8	749043.2	
753283.2	753260.8	753350.4	
761248	761264	761324.8	
769948.8	769923.2	769964.8	
777065.6	777052.8	777014.4	
781168	781177.6	781193.6	
781792	781747.2	781795.2	
778681.6	778662.4	778736	
772441.6	772432	772537.6	
764588.8	764579.2	764675.2	
756393.6	756361.6	756444.8	
748739.2	748707.2	748774.4	
742390.4	742374.4	742518.4	
737302.4	737280	737392	
733635.2	733603.2	733689.6	
730956.8	730892.8	730988.8	
728572.8	728582.4	728624	
726089.6	726025.6	726118.4	
723494.4	723488	723542.4	
721600	721596.8	721692.8	
720614.4	720576	720675.2	
720768	720739.2	720803.2	
723139.2	723116.8	723212.8	
728022.4	727980.8	728083.2	
731596.8	731571.2	731654.4	
729590.4	729558.4	729670.4	
722003.2	721993.6	722099.2	
711984	711952	712016	
702924.8	702902.4	703040	
697795.2	697766.4	697840	
697040	697049.6	697129.6	
699641.6	699612.8	699747.2	
702006.4	702000	702092.8	
701900.8	701875.2	701955.2	
700451.2	700419.2	700502.4	
699113.6	699052.8	699120	
698486.4	698441.6	698524.8	
698214.4	698201.6	698297.6	
699475.2	699440	699478.4	
703212.8	703228.8	703324.8	
707235.2	707244.8	707372.8	
707657.6	707619.2	707699.2	
704198.4	704201.6	704342.4	
699404.8	699395.2	699488	
697270.4	697280	697344	
699958.4	699952	700054.4	
708483.2	708448	708553.6	
719568	719539.2	719580.8	
729532.8	729491.2	729593.6	
737193.6	737206.4	737225.6	
742144	742137.6	742169.6	
743382.4	743334.4	743395.2	
742368	742352	742467.2	
741792	741788.8	741859.2	
743084.8	743040	743136	
745241.6	745264	745305.6	
746198.4	746182.4	746198.4	
745222.4	745187.2	745260.8	
743836.8	743772.8	743817.6	
743248	743257.6	743312	
745043.2	745033.6	745126.4	
747814.4	747782.4	747798.4	
748979.2	748950.4	748992	
746624	746598.4	746681.6	
740809.6	740793.6	740841.6	
732758.4	732748.8	732844.8	
724912	724902.4	724982.4	
719046.4	719008	719008	
715641.6	715603.2	715696	
715382.4	715347.2	715414.4	
718262.4	718246.4	718320	
725366.4	725366.4	725417.6	
737724.8	737673.6	737740.8	
751411.2	751395.2	751478.4	
758918.4	758876.8	758937.6	
756892.8	756867.2	756937.6	
747270.4	747251.2	747356.8	
733180.8	733126.4	733203.2	
719510.4	719500.8	719609.6	
709321.6	709308.8	709414.4	
702480	702470.4	702582.4	
698486.4	698454.4	698512	
696233.6	696195.2	696268.8	
694579.2	694563.2	694659.2	
692588.8	692534.4	692604.8	
689795.2	689763.2	689820.8	
687344	687331.2	687433.6	
686265.6	686230.4	686339.2	
687539.2	687516.8	687603.2	
691539.2	691529.6	691593.6	
698390.4	698345.6	698470.4	
705187.2	705174.4	705292.8	
708006.4	708000	708019.2	
705123.2	705078.4	705123.2	
697472	697462.4	697520	
687488	687468.8	687536	
678240	678220.8	678355.2	
670995.2	670966.4	671068.8	
